label,r,K
Demand,0.0,11.805110888774193
Demand,0.0017241379310344827,11.418281788638923
Demand,0.0034482758620689655,11.051813254988536
Demand,0.005172413793103448,10.704245421218081
Demand,0.006896551724137931,10.37424982894649
Demand,0.008620689655172414,10.060615286152656
Demand,0.010344827586206896,9.762235486722354
Demand,0.01206896551724138,9.47809814329953
Demand,0.013793103448275862,9.207275424179786
Demand,0.015517241379310345,8.948915517158747
Demand,0.017241379310344827,8.702235169995332
Demand,0.01896551724137931,8.466513079464036
Demand,0.020689655172413793,8.241084019648646
Demand,0.022413793103448276,8.02533361581574
Demand,0.02413793103448276,7.81869368342097
Demand,0.02586206896551724,7.620638062967133
Demand,0.027586206896551724,7.430678890895982
Demand,0.029310344827586206,7.248363254737813
Demand,0.03103448275862069,7.073270187596168
Demand,0.032758620689655175,6.905007962900697
Demand,0.034482758620689655,6.7432116553772
Demand,0.03620689655172414,6.587540938491303
Demand,0.03793103448275862,6.437678092329989
Demand,0.039655172413793106,6.293326199084172
Demand,0.041379310344827586,6.154207506061753
Demand,0.04310344827586207,6.020061938557842
Demand,0.04482758620689655,5.890645746990759
Demand,0.04655172413793104,5.765730274524056
Demand,0.04827586206896552,5.645100832974687
Demand,0.05,5.528555676187503
Supply,-0.03,0.421123134519741
Supply,-0.027528735632183905,0.4917177298635011
Supply,-0.02505747126436781,0.4994051452264297
Supply,-0.022586206896551716,0.5237653742557056
Supply,-0.02011494252873562,0.5482211654049425
Supply,-0.017643678160919527,0.6110511198117874
Supply,-0.015172413793103433,0.6951244831240913
Supply,-0.012701149425287338,0.758872511946852
Supply,-0.010229885057471242,0.8219699022132595
Supply,-0.007758620689655149,0.9032327331340003
Supply,-0.0052873563218390545,1.0327024801781757
Supply,-0.0028160919540229598,1.140405492600796
Supply,-0.0003448275862068653,1.2335811116088244
Supply,0.0021264367816092294,1.3678178563540222
Supply,0.004597701149425324,1.5957870591654693
Supply,0.007068965517241418,1.7280271392858386
Supply,0.009540229885057512,2.00864499481957
Supply,0.012011494252873607,2.2299834270050116
Supply,0.014482758620689701,2.5517442382153144
Supply,0.016954022988505797,2.8313431452228066
Supply,0.01942528735632189,3.2404647873487806
Supply,0.021896551724137986,3.6117595932677573
Supply,0.02436781609195408,4.3569433309093855
Supply,0.026839080459770175,5.096205579272596
Supply,0.02931034482758627,5.772170931918554
Supply,0.03178160919540236,6.910082162645667
Supply,0.034252873563218454,7.577861834489397
Supply,0.03672413793103455,8.53804825388062
Supply,0.03919540229885064,9.842323957429294
Supply,0.04166666666666674,12.000465303843386
